timestamp,user,host,usb_events,file_reads,file_writes
2024-01-01T00:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T01:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T02:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T03:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T04:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T05:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T06:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T07:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T08:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T09:00:00+00:00,alice,workstation-1,1,5,2
2024-01-01T10:00:00+00:00,alice,workstation-1,12,80,40
